"Код специализации","Наименование специальности"                                                                          ,"Специализация"                                                                                                                               ,"Квалификация"                                               ,"Срок"
"02.06.01_09"      ,"Компьютерные и информационные науки"                                                                 ,"Математическое и программное обеспечение вычислительных машин, комплексов и компьютерных сетей"                                              ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"02.06.01_10"      ,"Компьютерные и информационные науки"                                                                 ,"Математическое и программное обеспечение вычислительных машин, комплексов и компьютерных сетей"                                              ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"02.06.01_11"      ,"Компьютерные и информационные науки"                                                                 ,"Математическое и программное обеспечение вычислительных машин, комплексов и компьютерных сетей"                                              ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"02.06.01_12"      ,"Компьютерные и информационные науки"                                                                 ,"Математическое и программное обеспечение вычислительных машин, комплексов и компьютерных сетей"                                              ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"02.06.01_13"      ,"Компьютерные и информационные науки"                                                                 ,"Математическое и программное обеспечение вычислительных машин, комплексов и компьютерных сетей"                                              ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"02.06.01_14"      ,"Компьютерные и информационные науки"                                                                 ,"Вычислительные машины, комплексы и компьютерные сети"                                                                                        ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"02.06.01_15"      ,"Компьютерные и информационные науки"                                                                 ,"Вычислительные машины, комплексы и компьютерные сети"                                                                                        ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"02.06.01_16"      ,"Компьютерные и информационные науки"                                                                 ,"Вычислительные машины, комплексы и компьютерные сети"                                                                                        ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"02.06.01_17"      ,"Компьютерные и информационные науки"                                                                 ,"Вычислительные машины, комплексы и компьютерные сети"                                                                                        ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"02.06.01_18"      ,"Компьютерные и информационные науки"                                                                 ,"Теоретические основы информатики"                                                                                                            ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"02.06.01_19"      ,"Компьютерные и информационные науки"                                                                 ,"Теоретические основы информатики"                                                                                                            ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
