"Код специализации","Наименование специальности"                                                                          ,"Специализация"                                                                                                                               ,"Квалификация"                                               ,"Срок"
"15.04.02_03"      ,"Технологические машины и оборудование"                                                               ,"Пневмоагрегаты и пневмосистемы"                                                                                                              ,"Магистр"                                                    ,"2г."
"15.04.02_04"      ,"Технологические машины и оборудование"                                                               ,"Процессы и технологии механической и физико-технической обработки"                                                                           ,"Магистр"                                                    ,"2г."
"15.04.02_05"      ,"Технологические машины и оборудование"                                                               ,"Технологическое обеспечение качества изделий"                                                                                                ,"Магистр"                                                    ,"2г."
"15.04.02_06"      ,"Технологические машины и оборудование"                                                               ,"Оборудование и технологии прокатки"                                                                                                          ,"Магистр"                                                    ,"2г."
"15.04.02_07"      ,"Технологические машины и оборудование"                                                               ,"Обеспечение качества изделий технологическими методами"                                                                                      ,"Магистр"                                                    ,"2г."
"15.04.02_08"      ,"Технологические машины и оборудование"                                                               ,"Проектирование нефтегазовых комплексов"                                                                                                      ,"Магистр"                                                    ,"2г."
"15.04.02_10"      ,"Технологические машины и оборудование"                                                               ,"Оборудование и технологии прокатки"                                                                                                          ,"Магистр"                                                    ,"2г."
"15.04.02_64"      ,"Технологические машины и оборудование"                                                               ,"Процессы и технологии механической и физико-технической обработки (адаптационный план)"                                                      ,"Магистр"                                                    ,"2г."
"15.04.02_70"      ,"Технологические машины и оборудование"                                                               ,"Технологическое обеспечение качества изделий"                                                                                                ,"Магистр"                                                    ,"2г."
"15.04.02_71"      ,"Технологические машины и оборудование"                                                               ,"Вакуумная техника"                                                                                                                           ,"Магистр"                                                    ,"2г."
"15.04.02_72"      ,"Технологические машины и оборудование"                                                               ,"Компрессорная техника"                                                                                                                       ,"Магистр"                                                    ,"2г."
"15.04.02_73"      ,"Технологические машины и оборудование"                                                               ,"Пневмоагрегаты и пневмосистемы"                                                                                                              ,"Магистр"                                                    ,"2г."
"15.04.02_74"      ,"Технологические машины и оборудование"                                                               ,"Процессы и технологии механической и физико-технической обработки"                                                                           ,"Магистр"                                                    ,"2г."
"15.04.02_75"      ,"Технологические машины и оборудование"                                                               ,"Технологическое обеспечение качества изделий"                                                                                                ,"Магистр"                                                    ,"2г."
"15.04.02_76"      ,"Технологические машины и оборудование"                                                               ,"Оборудование и технологии прокатки"                                                                                                          ,"Магистр"                                                    ,"2г."
"15.04.02_77"      ,"Технологические машины и оборудование"                                                               ,"Обеспечение качества изделий технологическими методами"                                                                                      ,"Магистр"                                                    ,"2г."
"15.04.02_80"      ,"Технологические машины и оборудование"                                                               ,"Технологическое обеспечение качества изделий"                                                                                                ,"Магистр"                                                    ,"2г."
"15.04.02_87"      ,"Технологические машины и оборудование"                                                               ,"Обеспечение качества изделий технологическими методами"                                                                                      ,"Магистр"                                                    ,"2г."
"15.04.03_01"      ,"Прикладная механика"                                                                                 ,"Методы и техника экспериментальной механики"                                                                                                 ,"Магистр"                                                    ,"2г."
"15.04.03_02"      ,"Прикладная механика"                                                                                 ,"Математические модели механики деформируемого твердого тела"                                                                                 ,"Магистр"                                                    ,"2г."
"15.04.03_03"      ,"Прикладная механика"                                                                                 ,"Динамика механических систем и процессов"                                                                                                    ,"Магистр"                                                    ,"2г."
"15.04.03_71"      ,"Прикладная механика"                                                                                 ,"Методы и техника экспериментальной механики"                                                                                                 ,"Магистр"                                                    ,"2г."
"15.04.03_72"      ,"Прикладная механика"                                                                                 ,"Математические модели механики деформируемого твердого тела"                                                                                 ,"Магистр"                                                    ,"2г."
"15.04.03_73"      ,"Прикладная механика"                                                                                 ,"Динамика механических систем и процессов"                                                                                                    ,"Магистр"                                                    ,"2г."
"15.04.04_00"      ,"Автоматизация технологических процессов и производств"                                               ,                                                                                                                                              ,"Магистр"                                                    ,"2г."
"15.04.04_01"      ,"Автоматизация технологических процессов и производств"                                               ,"Интеллектуальные системы управления жизненным циклом продукции"                                                                              ,"Магистр"                                                    ,"2г."
"15.04.04_02"      ,"Автоматизация технологических процессов и производств"                                               ,"Интегрированные системы автоматизации технологических процессов и производств"                                                               ,"Магистр"                                                    ,"2г."
"15.04.04_03"      ,"Автоматизация технологических процессов и производств"                                               ,"Интеллектуальные системы управления жизненным циклом продукции"                                                                              ,"Магистр"                                                    ,"2г."
"15.04.04_04"      ,"Автоматизация технологических процессов и производств"                                               ,"Интегрированные системы автоматизации технологических процессов и производств"                                                               ,"Магистр"                                                    ,"2г."
"15.04.04_05"      ,"Автоматизация технологических процессов и производств"                                               ,"Автоматизация технологических процессов машиностроительного производства"                                                                    ,"Магистр"                                                    ,"2г."
"15.04.04_61"      ,"Автоматизация технологических процессов и производств"                                               ,"Интеллектуальные системы управления жизненным циклом продукции (адаптарованная программа)"                                                   ,"Магистр"                                                    ,"2г. 6м."
"15.04.04_62"      ,"Автоматизация технологических процессов и производств"                                               ,"Интегрированные системы автоматизации технологических процессов и производств (адаптированнная программа)"                                   ,"Магистр"                                                    ,"2г. 6м."
"15.04.04_63"      ,"Автоматизация технологических процессов и производств"                                               ,"Автоматизация технологических процессов машиностроительного производства (адаптационный план)"                                               ,"Магистр"                                                    ,"2г. 6м."
"15.04.04_71"      ,"Автоматизация технологических процессов и производств"                                               ,"Интеллектуальные системы управления жизненным циклом продукции"                                                                              ,"Магистр"                                                    ,"2г."
"15.04.04_72"      ,"Автоматизация технологических процессов и производств"                                               ,"Интегрированные системы автоматизации технологических процессов и производств"                                                               ,"Магистр"                                                    ,"2г."
"15.04.04_74"      ,"Автоматизация технологических процессов и производств"                                               ,                                                                                                                                              ,"Магистр"                                                    ,"2г."
"15.04.05_01"      ,"Конструкторско-технологическое обеспечение машиностроительных производств"                           ,"Металлообрабатывающие станки и комплексы"                                                                                                    ,"Магистр"                                                    ,"2г."
"15.04.05_02"      ,"Конструкторско-технологическое обеспечение машиностроительных производств"                           ,"Процессы и технологии механической и физико-технической обработки"                                                                           ,"Магистр"                                                    ,"2г."
"15.04.05_03"      ,"Конструкторско-технологическое обеспечение машиностроительных производств"                           ,"Технологическое обеспечение качества изделий машиностроения"                                                                                 ,"Магистр"                                                    ,"2г."
"15.04.05_70"      ,"Конструкторско-технологическое обеспечение машиностроительных производств"                           ,"Металорежущие станки и комплексы"                                                                                                            ,"Магистр"                                                    ,"2г."
"15.04.06_00"      ,"Мехатроника и робототехника"                                                                         ,"Мехатроника и робототехника"                                                                                                                 ,"Магистр"                                                    ,"2г."
"15.04.06_01"      ,"Мехатроника и робототехника"                                                                         ,"Управление робототехническими системами"                                                                                                     ,"Магистр"                                                    ,"2г."
"15.04.06_02"      ,"Мехатроника и робототехника"                                                                         ,"Роботы и манипуляторы специального назначения"                                                                                               ,"Магистр"                                                    ,"2г."
"15.04.06_03"      ,"Мехатроника и робототехника"                                                                         ,"Системы управления объектами мехатроники"                                                                                                    ,"Магистр"                                                    ,"2г."
"15.04.06_04"      ,"Мехатроника и робототехника"                                                                         ,"Подводные робототехнические комплексы и аппараты"                                                                                            ,"Магистр"                                                    ,"2г."
"15.04.06_05"      ,"Мехатроника и робототехника"                                                                         ,"Промышленные и сервисные роботы"                                                                                                             ,"Магистр"                                                    ,"2г."
"15.04.06_11"      ,"Мехатроника и робототехника"                                                                         ,"Подводные робототехнические комплексы и аппараты"                                                                                            ,"Магистр"                                                    ,"2г."
"15.04.06_70"      ,"Мехатроника и робототехника"                                                                         ,"Управление робототехническими системами"                                                                                                     ,"Магистр"                                                    ,"2г."
"15.04.06_71"      ,"Мехатроника и робототехника"                                                                         ,"Управление робототехническими системами"                                                                                                     ,"Магистр"                                                    ,"2г."
"15.04.06_72"      ,"Мехатроника и робототехника"                                                                         ,"Управление робототехническими системами"                                                                                                     ,"Магистр"                                                    ,"2г."
"15.04.06_73"      ,"Мехатроника и робототехника"                                                                         ,"Системы управления объектами мехатроники"                                                                                                    ,"Магистр"                                                    ,"2г."
"15.04.06_75"      ,"Мехатроника и робототехника"                                                                         ,"Промышленные и сервисные роботы"                                                                                                             ,"Магистр"                                                    ,"2г."
"15.04.06_81"      ,"Мехатроника и робототехника"                                                                         ,"Управление робототехническими системами"                                                                                                     ,"Магистр"                                                    ,"2г."
"15.04.06_85"      ,"Мехатроника и робототехника"                                                                         ,"Промышленные и сервисные роботы"                                                                                                             ,"Магистр"                                                    ,"2г."
"15.05.01_00"      ,"Проектирование технологических машин и комплексов"                                                   ,                                                                                                                                              ,"Инженер"                                                    ,"5г. 10м."
"15.05.01_01"      ,"Проектирование технологических машин и комплексов"                                                   ,"Проектирование металлорежущих станков и комплексов"                                                                                          ,"Инженер"                                                    ,"5г. 10м."
"15.05.01_02"      ,"Проектирование технологических машин и комплексов"                                                   ,"Проектирование механообрабатывающих и инструментальных комплексов в машиностроении"                                                          ,"Инженер"                                                    ,"5г. 10м."
"15.05.01_03"      ,"Проектирование технологических машин и комплексов"                                                   ,"Проектирование технологических комплексов механосборочных производств"                                                                       ,"Инженер"                                                    ,"5г. 10м."
"15.05.01_04"      ,"Проектирование технологических машин и комплексов"                                                   ,"Проектирование промышленных технологических комплексов с использованием высококонцентрированных потоков энергии"                             ,"Инженер"                                                    ,"5г. 10м."
"15.05.01_05"      ,"Проектирование технологических машин и комплексов"                                                   ,"Проектирование технологических комплексов в литейном производстве"                                                                           ,"Инженер"                                                    ,"5г. 10м."
"15.05.01_06"      ,"Проектирование технологических машин и комплексов"                                                   ,"Проектирование технологических комплексов в кузнечно-штамповочном производстве"                                                              ,"Инженер"                                                    ,"5г. 10м."
"15.05.01_07"      ,"Проектирование технологических машин и комплексов"                                                   ,"Проектирование технологических комплексов в сварочном производстве"                                                                          ,"Инженер"                                                    ,"5г. 10м."
"15.05.01_08"      ,"Проектирование технологических машин и комплексов"                                                   ,"Диагностика и продление ресурса сварных конструкций"                                                                                         ,"Инженер"                                                    ,"5г. 10м."
"15.05.01_09"      ,"Проектирование технологических машин и комплексов"                                                   ,"Проектирование компрессорных и вакуумных машин и комплексов"                                                                                 ,"Инженер"                                                    ,"5г. 10м."
"15.05.01_10"      ,"Проектирование технологических машин и комплексов"                                                   ,"Проектирование технологических комплексов в прокатном производстве"                                                                          ,"Инженер"                                                    ,"5г. 10м."
"15.05.01_11"      ,"Проектирование технологических машин и комплексов"                                                   ,"Контроль и управление качеством в сварочном производстве"                                                                                    ,"Инженер"                                                    ,"5г. 10м."
"15.05.01_12"      ,"Проектирование технологических машин и комплексов"                                                   ,"Проектирование технологических комплексов в машиностроении"                                                                                  ,"Инженер"                                                    ,"5г. 10м."
"15.05.01_13"      ,"Проектирование технологических машин и комплексов"                                                   ,"Проектирование металлургических машин и комплексов"                                                                                          ,"Инженер"                                                    ,"5г. 10м."
"15.05.01_14"      ,"Проектирование технологических машин и комплексов"                                                   ,"Проектирование технологических машин-автоматов и автоматизированных комплексов"                                                              ,"Инженер"                                                    ,"5г. 10м."
"15.05.01_22"      ,"Проектирование технологических машин и комплексов"                                                   ,"Проектирование механообрабатывающих и инструментальных комплексов в машиностроении"                                                          ,"Инженер"                                                    ,"5г. 10м."
"15.05.01_23"      ,"Проектирование технологических машин и комплексов"                                                   ,"Проектирование технологических комплексов механосборочных производств"                                                                       ,"Инженер"                                                    ,"5г. 10м."
"15.05.01_70"      ,"Проектирование технологических машин и комплексов"                                                   ,                                                                                                                                              ,"Инженер"                                                    ,"5г. 10м."
"15.05.01_71"      ,"Проектирование технологических машин и комплексов"                                                   ,"Проектирование металлорежущих станков и комплексов"                                                                                          ,"Инженер"                                                    ,"5г. 10м."
"15.05.01_72"      ,"Проектирование технологических машин и комплексов"                                                   ,"Проектирование механообрабатывающих и инструментальных комплексов в машиностроении"                                                          ,"Инженер"                                                    ,"5г. 10м."
"15.05.01_73"      ,"Проектирование технологических машин и комплексов"                                                   ,"Проектирование технологических комплексов механосборочных производств"                                                                       ,"Инженер"                                                    ,"5г. 10м."
"15.05.01_74"      ,"Проектирование технологических машин и комплексов"                                                   ,"Проектирование промышленных технологических комплексов с использованием высококонцентрированных потоков энергии"                             ,"Инженер"                                                    ,"5г. 10м."
"15.05.01_75"      ,"Проектирование технологических машин и комплексов"                                                   ,"Проектирование технологических комплексов в литейном производстве"                                                                           ,"Инженер"                                                    ,"5г. 10м."
"15.05.01_76"      ,"Проектирование технологических машин и комплексов"                                                   ,"Проектирование технологических комплексов в кузнечно-штамповочном производстве"                                                              ,"Инженер"                                                    ,"5г. 10м."
"15.05.01_77"      ,"Проектирование технологических машин и комплексов"                                                   ,"Проектирование технологических комплексов в сварочном производстве"                                                                          ,"Инженер"                                                    ,"5г. 10м."
"15.05.01_78"      ,"Проектирование технологических машин и комплексов"                                                   ,"Диагностика и продление ресурса сварных конструкций"                                                                                         ,"Инженер"                                                    ,"5г. 10м."
"15.05.01_79"      ,"Проектирование технологических машин и комплексов"                                                   ,"Проектирование компрессорных и вакуумных машин и комплексов"                                                                                 ,"Инженер"                                                    ,"5г. 10м."
"15.05.01_81"      ,"Проектирование технологических машин и комплексов"                                                   ,"Проектирование металлорежущих станков и комплексов"                                                                                          ,"Инженер"                                                    ,"5г. 10м."
"15.05.01_83"      ,"Проектирование технологических машин и комплексов"                                                   ,"Проектирование технологических комплексов механосборочных производств"                                                                       ,"Инженер"                                                    ,"5г. 10м."
"15.05.01_93"      ,"Проектирование технологических машин и комплексов"                                                   ,"Проектирование технологических комплексов механосборочных производств (специального назначения)"                                             ,"Инженер"                                                    ,"5г. 10м."
"15.05.01_99"      ,"Проектирование технологических машин и комплексов"                                                   ,                                                                                                                                              ,"Инженер"                                                    ,"5г. 10м."
"15.06.01_00"      ,"Машиностроение"                                                                                      ,                                                                                                                                              ,"Исследователь. Преподаватель-исследователь"                 ,"3г."
"15.06.01_01"      ,"Машиностроение"                                                                                      ,"Машиноведение, системы приводов и детали машин"                                                                                              ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"15.06.01_02"      ,"Машиностроение"                                                                                      ,"Трение и износ в машинах"                                                                                                                    ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"15.06.01_03"      ,"Машиностроение"                                                                                      ,"Роботы, мехатроника и робототехнические системы"                                                                                             ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"15.06.01_04"      ,"Машиностроение"                                                                                      ,"Роботы, мехатроника и робототехнические системы"                                                                                             ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"15.06.01_05"      ,"Машиностроение"                                                                                      ,"Технология и оборудование механической и физико-технической обработки"                                                                       ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"15.06.01_06"      ,"Машиностроение"                                                                                      ,"Технология и оборудование механической и физико-технической обработки"                                                                       ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"15.06.01_07"      ,"Машиностроение"                                                                                      ,"Технология и оборудование механической и физико-технической обработки"                                                                       ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"15.06.01_08"      ,"Машиностроение"                                                                                      ,"Технология и оборудование механической и физико-технической обработки"                                                                       ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"15.06.01_09"      ,"Машиностроение"                                                                                      ,"Технология и оборудование механической и физико-технической обработки"                                                                       ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"15.06.01_10"      ,"Машиностроение"                                                                                      ,"Технология машиностроения"                                                                                                                   ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"15.06.01_11"      ,"Машиностроение"                                                                                      ,"Технология машиностроения"                                                                                                                   ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"15.06.01_12"      ,"Машиностроение"                                                                                      ,"Технология машиностроения"                                                                                                                   ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"15.06.01_13"      ,"Машиностроение"                                                                                      ,"Технология машиностроения"                                                                                                                   ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"15.06.01_14"      ,"Машиностроение"                                                                                      ,"Технологии и машины обработки давлением"                                                                                                     ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"15.06.01_15"      ,"Машиностроение"                                                                                      ,"Технологии и машины обработки давлением"                                                                                                     ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"15.06.01_16"      ,"Машиностроение"                                                                                      ,"Технологии и машины обработки давлением"                                                                                                     ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"15.06.01_17"      ,"Машиностроение"                                                                                      ,"Сварка, родственные процессы и технологии"                                                                                                   ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"15.06.01_18"      ,"Машиностроение"                                                                                      ,"Сварка, родственные процессы и технологии"                                                                                                   ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
"15.06.01_19"      ,"Машиностроение"                                                                                      ,"Сварка, родственные процессы и технологии"                                                                                                   ,"Исследователь. Преподаватель-исследователь"                 ,"4г."
