"group","specCode"
ИУ5-82Б,09.03.01_02
ИУ5-83Б,09.03.01_02
ИУ5-84Б,09.03.01_02
ИУ5-85Б,09.03.01_82
ИУ5-81А,09.06.01_19
ИУ5-82А,09.06.01_32
ИУ5-83А,09.06.01_32
ИУ5-84А,09.06.01_69
ИУ5-85А,02.06.01_69
ИУ5-86А,09.06.01_82
ИУ5-102А,09.06.01_82
ИУ6-21Б,09.03.01_03
ИУ6-22Б,09.03.01_03
ИУ6-23Б,09.03.01_03
ИУ6-24Б,09.03.03_02
ИУ6-25Б,09.03.03_02
ИУ6-21М,09.04.01_02
ИУ6-22М,09.04.01_02
ИУ6-23М,09.04.01_02
ИУ6-21А,09.06.01_33
ИУ6-41Б,09.03.01_03
ИУ6-42Б,09.03.01_03
ИУ6-43Б,09.03.01_03
ИУ6-44Б,09.03.03_02
ИУ6-45Б,09.03.03_02
ИУ6-46Б,09.03.01_03
ИУ6-41М,09.04.01_02
ИУ6-42М,09.04.01_02
ИУ6-43М,09.04.01_02
ИУ6-41А,09.06.01_33
ИУ6-42А,09.06.01_79
ИУ6-61Б,09.03.01_03
ИУ6-62Б,09.03.01_03
ИУ6-63Б,09.03.01_03
ИУ6-64Б,09.03.01_03
ИУ6-65Б,09.03.03_02
ИУ6-61А,09.06.01_29
ИУ6-62А,09.06.01_33
ИУ6-81Б,09.03.01_03
ИУ6-82Б,09.03.01_03
ИУ6-83Б,09.03.01_03
ИУ6-84Б,09.03.03_02
ИУ6-82А,09.06.01_33
ИУ6-83А,02.06.01_66
ИУ7-21Б,09.03.04_01
ИУ7-22Б,09.03.04_01
ИУ7-23Б,09.03.04_01
ИУ7-24Б,09.03.04_01
ИУ7-25Б,09.03.04_01
ИУ7-26Б,09.03.04_01
ИУ7-21М,09.04.04_02
ИУ7-22М,09.04.04_02
ИУ7-23М,09.04.04_02
ИУ7-21А,09.06.01_22
ИУ7-22А,09.06.01_72
ИУ7-41Б,09.03.04_01
ИУ7-42Б,09.03.04_01
ИУ7-43Б,09.03.04_01
ИУ7-44Б,09.03.04_01
ИУ7-45Б,09.03.04_01
ИУ7-46Б,09.03.04_01
ИУ7-41М,09.04.04_02
ИУ7-42М,09.04.04_02
ИУ7-43М,09.04.04_02
ИУ7-41А,09.06.01_34
ИУ7-61Б,09.03.04_01
ИУ7-62Б,09.03.04_01
ИУ7-63Б,09.03.04_01
ИУ7-64Б,09.03.04_01
ИУ7-65Б,09.03.04_01
ИУ7-66Б,09.03.04_01
ИУ7-61А,09.06.01_34
ИУ7-62А,09.06.01_22
ИУ7-81Б,09.03.04_01
ИУ7-82Б,09.03.04_01
ИУ7-83Б,09.03.04_01
ИУ7-84Б,09.03.04_01
ИУ7-85Б,09.03.04_01
ИУ7-81А,09.06.01_22
ИУ8-21,10.05.03_01
ИУ8-22,10.05.03_01
ИУ8-23,10.05.03_01
ИУ8-24,10.05.01_01
ИУ8-25,10.05.01_01
ИУ8-21М,10.04.01_01
ИУ8-21А,10.06.01_01
ИУ8-22А,10.06.01_51
ИУ8-41,10.05.03_01
ИУ8-42,10.05.03_01
ИУ8-43,10.05.03_01
ИУ8-44,10.05.01_01
ИУ8-45,10.05.01_01
ИУ8-41М,10.04.01_01
ИУ8-42М,10.04.01_01
ИУ8-41А,09.06.01_23
ИУ8-42А,10.06.01_51
ИУ8-61,10.05.03_01
ИУ8-62,10.05.03_01
ИУ8-63,10.05.03_01
ИУ8-64,10.05.01_01
ИУ8-61А,09.06.01_23
ИУ8-62А,10.06.01_01
ИУ8-63А,10.06.01_51
ИУ8-81,10.05.03_01
ИУ8-82,10.05.03_02
ИУ8-83,10.05.03_03
ИУ8-84,10.05.01_01
ИУ8-81А,09.06.01_23
ИУ8-82А,10.06.01_01
ИУ8-83А,10.06.01_51
ИУ8-101,10.05.03_01
ИУ8-102,10.05.03_02
ИУ8-103,10.05.03_03
ИУ8-104,10.05.01_01
ИУ8-109,10.05.03_93
ИУ8-121,10.05.03_01
ИУ8-122,10.05.03_02
ИУ8-123,10.05.03_03
ИУ8-124,10.05.01_01
ИУ9-21Б,01.03.02_01
ИУ9-22Б,01.03.02_01
ИУ9-23Б,01.03.02_01
ИУ9-21М,01.04.04_04
ИУ9-21А,09.06.01_24
ИУ9-41Б,01.03.02_01
ИУ9-42Б,01.03.02_01
ИУ9-43Б,01.03.02_01
ИУ9-41М,01.04.04_04
ИУ9-42А,09.06.01_24
ИУ9-61Б,01.03.02_01
ИУ9-62Б,01.03.02_01
ИУ9-81Б,01.03.02_01
ИУ9-82Б,01.03.02_01
ИУ10-21,10.05.07_01
ИУ10-23,10.05.07_01
ИУ10-24,10.05.07_01
ИУ10-25,10.05.07_01
ИУ10-29,10.05.07_92
ИУ10-21А,10.06.01_02
ИУ10-41,10.05.07_02
ИУ10-42,10.05.07_92
ИУ10-43,10.05.07_01
ИУ10-44,10.05.07_01
ИУ10-45,10.05.07_01
ИУ10-49,10.05.07_92
ИУ10-41А,09.06.01_40
ИУ10-42А,10.06.01_02
ИУ10-61,10.05.07_02
ИУ10-63,10.05.07_01
ИУ10-64,10.05.07_01
ИУ10-65,10.05.07_01
ИУ10-69,10.05.07_92
ИУ10-61А,09.06.01_40
ИУ10-62А,10.06.01_02
ИУ10-81,10.05.07_02
ИУ10-83,10.05.07_01
ИУ10-84,10.05.07_01
ИУ10-89,10.05.07_92
ИУ10-81А,10.06.01_02
ИУ10-82А,10.06.01_52
ИУ10-101,10.05.07_02
ИУ10-102,10.05.07_01
ИУ10-103,10.05.07_01
ИУ10-104,10.05.07_01
ИУ10-121,10.05.07_02
ИУ10-122,10.05.07_01
ИУ10-123,10.05.07_01
Л4-21Б,45.03.02_01
Л4-22Б,45.03.02_01
Л4-41Б,45.03.02_01
Л4-42Б,45.03.02_01
Л4-43Б,45.03.02_01
Л4-61Б,45.03.02_01
Л4-62Б,45.03.02_01
Л4-63Б,45.03.02_01
Л4-81Б,45.03.02_01
Л4-82Б,45.03.02_01
Л4-83Б,45.03.02_01
МТ1-21Б,15.03.01_01
МТ1-21,15.05.01_01
МТ1-21М,15.04.01_07
МТ1-21А,15.06.01_05
МТ1-41Б,15.03.01_01
МТ1-41,15.05.01_01
МТ1-41М,15.04.01_07
МТ1-41А,15.06.01_05
МТ1-62Б,15.03.01_01
МТ1-61,15.05.01_01
МТ1-82Б,15.03.01_01
МТ1-81,15.05.01_01
МТ1-101,15.05.01_01
МТ1-121,15.05.01_01
МТ1-122,15.05.01_81
МТ2-21,15.05.01_02
МТ2-22,15.05.01_02
МТ2-21М,15.04.02_04
МТ2-21А,15.06.01_06
МТ2-22А,15.06.01_56
МТ2-41,15.05.01_02
МТ2-42,15.05.01_02
МТ2-41М,15.04.02_04
МТ2-41А,15.06.01_06
МТ2-61,15.05.01_02
МТ2-62,15.05.01_02
МТ2-81,15.05.01_02
МТ2-82,15.05.01_02
МТ2-101,15.05.01_02
МТ2-102,15.05.01_02
МТ2-121,15.05.01_02
МТ2-122,15.05.01_02
МТ3-21,15.05.01_03
МТ3-22,15.05.01_12
МТ3-29,15.05.01_93
МТ3-21А,15.06.01_10
МТ3-41,15.05.01_03
МТ3-42,15.05.01_12
МТ3-43,15.05.01_03
МТ3-41А,15.06.01_10
МТ3-61,15.05.01_03
МТ3-62,15.05.01_12
МТ3-69,15.05.01_93
МТ3-61А,15.06.01_10
МТ3-81,15.05.01_03
МТ3-82,15.05.01_12
МТ3-89,15.05.01_93
МТ3-81А,15.06.01_10
МТ3-82А,15.06.01_60
МТ3-101,15.05.01_03
МТ3-102,15.05.01_12
МТ3-109,15.05.01_93
МТ3-101А,15.06.01_60
МТ3-121,15.05.01_03
МТ3-122,15.05.01_12
МТ3-129,15.05.01_93
МТ4-21Б,27.03.01_01
МТ4-21М,27.04.01_01
МТ4-21А,27.06.01_09
МТ4-41Б,27.03.01_01
МТ4-41М,27.04.01_01
МТ4-41А,15.06.01_29
МТ4-61Б,27.03.01_01
МТ4-61А,27.06.01_09
МТ4-81Б,27.03.01_01
МТ4-102А,27.06.01_59
МТ5-21Б,15.03.01_03
МТ5-21,15.05.01_05
МТ5-21М,15.04.01_05
МТ5-21А,22.06.01_02
МТ5-41Б,15.03.01_03
МТ5-41,15.05.01_05
МТ5-41М,15.04.01_05
МТ5-41А,22.06.01_02
МТ5-62Б,15.03.01_03
МТ5-61,15.05.01_05
МТ5-61А,22.06.01_02
МТ5-82Б,15.03.01_03
МТ5-81,15.05.01_05
МТ5-81А,22.06.01_02
МТ5-101,15.05.01_05
МТ5-101А,22.06.01_52
МТ5-121,15.05.01_05
МТ6-21Б,15.03.01_04
МТ6-21,15.05.01_06
МТ6-21М,15.04.01_06
МТ6-21А,15.06.01_14
МТ6-41Б,15.03.01_04
МТ6-41,15.05.01_06
МТ6-41М,15.04.01_06
МТ6-41А,15.06.01_14
МТ6-42А,15.06.01_64
МТ6-62Б,15.03.01_04
МТ6-61,15.05.01_06
МТ6-61А,15.06.01_14
МТ6-62А,15.06.01_14
МТ6-82Б,15.03.01_04
МТ6-81,15.05.01_06
МТ6-81А,15.06.01_14
МТ6-101,15.05.01_06
МТ6-121,15.05.01_06
МТ7-21,15.05.01_07
МТ7-22,15.05.01_08
МТ7-21М,15.04.01_01
МТ7-21А,15.06.01_17
МТ7-22А,15.06.01_20
МТ7-41,15.05.01_07
МТ7-42,15.05.01_08
МТ7-41М,15.04.01_01
МТ7-41А,15.06.01_17
МТ7-42А,15.06.01_20
МТ7-61,15.05.01_07
МТ7-62,15.05.01_08
МТ7-61А,15.06.01_17
МТ7-62А,15.06.01_20
МТ7-81,15.05.01_07
МТ7-82,15.05.01_08
МТ7-83,15.05.01_11
МТ7-81А,15.06.01_17
МТ7-82А,15.06.01_20
МТ7-83А,15.06.01_17
МТ7-84А,15.06.01_67
МТ7-101,15.05.01_07
МТ7-102,15.05.01_08
МТ7-103,15.05.01_11
МТ7-103А,15.06.01_67
МТ7-121,15.05.01_07
МТ7-122,15.05.01_08
МТ7-123,15.05.01_11
МТ8-21Б,22.03.01_01
МТ8-22Б,22.03.01_01
МТ8-21М,22.04.01_02
МТ8-22М,22.04.01_02
МТ8-22А,22.06.01_03
МТ8-23А,22.06.01_51
МТ8-41Б,22.03.01_01
МТ8-42Б,22.03.01_01
МТ8-41М,22.04.01_02
МТ8-42М,22.04.01_02
